"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","30067","GA","""Atlanta-Sandy Springs-Roswell, GA""",2331,9,13.0909090909091,55,2.92207792207792,2.61173184357542
"Zip","30075","GA","""Atlanta-Sandy Springs-Roswell, GA""",2339,9,20.0757575757576,76,8.37662337662338,2.61173184357542
"Zip","30144","GA","""Atlanta-Sandy Springs-Roswell, GA""",2392,9,7.97101449275362,59,0.584415584415584,2.61173184357542
"Zip","30319","GA","""Atlanta-Sandy Springs-Roswell, GA""",2457,9,13.9130434782609,77,6.75324675324675,2.61173184357542
"Zip","30114","GA","""Atlanta-Sandy Springs-Roswell, GA""",2550,9,9.80392156862745,84,5.12987012987013,2.61173184357542
"Zip","30016","GA","""Atlanta-Sandy Springs-Roswell, GA""",2717,9,10.2296450939457,102,6.91558441558442,2.61173184357542
"Zip","30032","GA","""Atlanta-Sandy Springs-Roswell, GA""",2724,9,16.3690476190476,71.5,7.01298701298701,2.61173184357542
"Zip","30236","GA","""Atlanta-Sandy Springs-Roswell, GA""",2796,9,12.0331950207469,84,6.91558441558442,2.61173184357542
"Zip","30093","GA","""Atlanta-Sandy Springs-Roswell, GA""",2858,9,4,61,0.0649350649350649,2.61173184357542
"Zip","30064","GA","""Atlanta-Sandy Springs-Roswell, GA""",2948,9,14.3552311435523,70,6.03896103896104,2.61173184357542
"Zip","30309","GA","""Atlanta-Sandy Springs-Roswell, GA""",3038,9,10.8179419525066,58,1.68831168831169,2.61173184357542
"Zip","30518","GA","""Atlanta-Sandy Springs-Roswell, GA""",3060,9,11.037527593819,69,3.37662337662338,2.61173184357542
"Zip","30076","GA","""Atlanta-Sandy Springs-Roswell, GA""",3148,9,15.2610441767068,61,4.54545454545455,2.61173184357542
"Zip","30034","GA","""Atlanta-Sandy Springs-Roswell, GA""",3168,9,9.19540229885057,88,5.64935064935065,2.61173184357542
"Zip","30097","GA","""Atlanta-Sandy Springs-Roswell, GA""",3191,9,15.7407407407407,96.5,9.48051948051948,2.61173184357542
"Zip","30324","GA","""Atlanta-Sandy Springs-Roswell, GA""",3194,9,10.625,64,2.20779220779221,2.61173184357542
"Zip","30339","GA","""Atlanta-Sandy Springs-Roswell, GA""",3321,9,14.1129032258065,73,6.36363636363636,2.61173184357542
"Zip","30350","GA","""Atlanta-Sandy Springs-Roswell, GA""",3357,9,11.2449799196787,65,2.98701298701299,2.61173184357542
"Zip","30328","GA","""Atlanta-Sandy Springs-Roswell, GA""",3477,9,16.6315789473684,73.5,7.46753246753247,2.61173184357542
"Zip","30519","GA","""Atlanta-Sandy Springs-Roswell, GA""",3524,9,10.3305785123967,83,5.25974025974026,2.61173184357542
"Zip","30039","GA","""Atlanta-Sandy Springs-Roswell, GA""",3537,9,7.81758957654723,74.5,2.14285714285714,2.61173184357542
"Zip","30120","GA","""Atlanta-Sandy Springs-Roswell, GA""",3547,9,5.66037735849057,74,1.1038961038961,2.61173184357542
"Zip","30680","GA","""Atlanta-Sandy Springs-Roswell, GA""",3599,9,8.10810810810811,71,1.88311688311688,2.61173184357542
"Zip","30126","GA","""Atlanta-Sandy Springs-Roswell, GA""",3661,9,11.8694362017804,86,7.27272727272727,2.61173184357542
"Zip","30228","GA","""Atlanta-Sandy Springs-Roswell, GA""",3671,9,7.12871287128713,98,4.74025974025974,2.61173184357542
"Zip","30134","GA","""Atlanta-Sandy Springs-Roswell, GA""",3739,9,11.038961038961,92,7.17532467532468,2.61173184357542
"Zip","30019","GA","""Atlanta-Sandy Springs-Roswell, GA""",3793,9,11.1638954869359,86,6.62337662337662,2.61173184357542
"Zip","30115","GA","""Atlanta-Sandy Springs-Roswell, GA""",3799,9,13.2142857142857,92,8.76623376623377,2.61173184357542
